kpi,percentualDifference,day
Zul / Ativações On Street / Cidades Zul / SSA,-26.17,2025-03-03
Zul / Ativações On Street / Cidades Zul / SSA,-24.29,2025-03-04
Zul / Ativações On Street / Cidades Zul / SSA,-20.35,2025-03-05
Zul / Ativações On Street / Cidades Zul / SSA,-0.75,2025-03-06
Zul / Ativações On Street / Cidades Zul / SSA,-1.30,2025-03-07
Zul / Ativações On Street / Cidades Zul / SSA,4.58,2025-03-10
Zul / Ativações On Street / Cidades Zul / SSA,6.77,2025-03-11
Zul / Ativações On Street / Cidades Zul / SSA,3.98,2025-03-12
Zul / Ativações On Street / Cidades Zul / SSA,3.18,2025-03-13
Zul / Ativações On Street / Cidades Zul / SSA,8.95,2025-03-14
Zul / Ativações On Street / Cidades Zul / SSA,1.28,2025-03-17
Zul / Ativações On Street / Cidades Zul / SSA,-4.12,2025-03-18
Zul / Ativações On Street / Cidades Zul / SSA,0.31,2025-03-19
Zul / Ativações On Street / Cidades Zul / SSA,-1.28,2025-03-20
Zul / Ativações On Street / Cidades Zul / SSA,-97.89,2025-03-21
Zul / Ativações On Street / Cidades Zul / SSA,-0.82,2025-03-24
Zul / Ativações On Street / Cidades Zul / SSA,0.93,2025-03-25
Zul / Ativações On Street / Cidades Zul / SSA,2.20,2025-03-26
Zul / Ativações On Street / Cidades Zul / SSA,2.17,2025-03-27
Zul / Ativações On Street / Cidades Zul / SSA,11.13,2025-03-28
Zul / Ativações On Street / Cidades Zul / SSA,1.81,2025-03-31
Zul / Ativações On Street / Cidades Zul / SSA,3.82,2025-04-01
Zul / Ativações On Street / Cidades Zul / SSA,0.29,2025-04-02
Zul / Ativações On Street / Cidades Zul / SSA,5.44,2025-04-03
Zul / Ativações On Street / Cidades Zul / SSA,11.76,2025-04-04
Zul / Ativações On Street / Cidades Zul / SSA,8.01,2025-04-07
Zul / Ativações On Street / Cidades Zul / SSA,6.68,2025-04-08
Zul / Ativações On Street / Cidades Zul / SSA,7.99,2025-04-09
Zul / Ativações On Street / Cidades Zul / SSA,9.10,2025-04-10
Zul / Ativações On Street / Cidades Zul / SSA,11.32,2025-04-11
Zul / Ativações On Street / Cidades Zul / SSA,12.32,2025-04-14
Zul / Ativações On Street / Cidades Zul / SSA,14.03,2025-04-15
Zul / Ativações On Street / Cidades Zul / SSA,11.24,2025-04-16
Zul / Ativações On Street / Cidades Zul / SSA,5.69,2025-04-17
Zul / Ativações On Street / Cidades Zul / SSA,-45.51,2025-04-18
Zul / Ativações On Street / Cidades Zul / SSA,0.69,2025-04-21
Zul / Ativações On Street / Cidades Zul / SSA,-7.46,2025-04-22
Zul / Ativações On Street / Cidades Zul / SSA,-7.01,2025-04-23
Zul / Ativações On Street / Cidades Zul / SSA,-3.84,2025-04-24
Zul / Ativações On Street / Cidades Zul / SSA,1.54,2025-04-25
Zul / Ativações On Street / Cidades Zul / SSA,7.29,2025-04-28
Zul / Ativações On Street / Cidades Zul / SSA,7.09,2025-04-29
Zul / Ativações On Street / Cidades Zul / SSA,7.62,2025-04-30
Zul / Ativações On Street / Cidades Zul / SSA,-17.18,2025-05-01
Zul / Ativações On Street / Cidades Zul / SSA,-20.53,2025-05-02
Zul / Ativações On Street / Cidades Zul / SSA,-8.66,2025-05-05
Zul / Ativações On Street / Cidades Zul / SSA,-6.52,2025-05-06
Zul / Ativações On Street / Cidades Zul / SSA,-4.41,2025-05-07
Zul / Ativações On Street / Cidades Zul / SSA,-3.25,2025-05-08
Zul / Ativações On Street / Cidades Zul / SSA,3.06,2025-05-09
Zul / Ativações On Street / Cidades Zul / SSA,4.74,2025-05-12
Zul / Ativações On Street / Cidades Zul / SSA,1.31,2025-05-13
Zul / Ativações On Street / Cidades Zul / SSA,-3.39,2025-05-14
Zul / Ativações On Street / Cidades Zul / SSA,0.51,2025-05-15
Zul / Ativações On Street / Cidades Zul / SSA,2.00,2025-05-16
Zul / Ativações On Street / Cidades Zul / SSA,-0.92,2025-05-19
Zul / Ativações On Street / Cidades Zul / SSA,0.49,2025-05-20
Zul / Ativações On Street / Cidades Zul / SSA,3.37,2025-05-21
Zul / Ativações On Street / Cidades Zul / SSA,2.86,2025-05-22
Zul / Ativações On Street / Cidades Zul / SSA,1.41,2025-05-23
Zul / Ativações On Street / Cidades Zul / SSA,0.64,2025-05-26
Zul / Ativações On Street / Cidades Zul / SSA,1.81,2025-05-27
Zul / Ativações On Street / Cidades Zul / SSA,-5.55,2025-05-28
Zul / Ativações On Street / Cidades Zul / SSA,-4.33,2025-05-29
Zul / Ativações On Street / Cidades Zul / SSA,-3.44,2025-05-30
Zul / Ativações On Street / Cidades Zul / SSA,2.84,2025-06-02
Zul / Ativações On Street / Cidades Zul / SSA,-9.75,2025-06-03
Zul / Ativações On Street / Cidades Zul / SSA,-0.66,2025-06-04
Zul / Ativações On Street / Cidades Zul / SSA,-0.67,2025-06-05
Zul / Ativações On Street / Cidades Zul / SSA,4.24,2025-06-06
Zul / Ativações On Street / Cidades Zul / SSA,14.31,2025-06-09
Zul / Ativações On Street / Cidades Zul / SSA,13.63,2025-06-10
Zul / Ativações On Street / Cidades Zul / SSA,18.53,2025-06-11
Zul / Ativações On Street / Cidades Zul / SSA,10.85,2025-06-12
Zul / Ativações On Street / Cidades Zul / SSA,6.90,2025-06-13
Zul / Ativações On Street / Cidades Zul / SSA,0.44,2025-06-16
Zul / Ativações On Street / Cidades Zul / SSA,7.93,2025-06-17
Zul / Ativações On Street / Cidades Zul / SSA,-97.86,2025-06-18
